L10_accuracy,L10_loss,L16_accuracy,L16_loss,L20_accuracy,L20_loss,L25_accuracy,L25_loss,L32_accuracy,L32_loss,L40_accuracy,L40_loss,L50_accuracy,L50_loss,L64_accuracy,L64_loss,L3_accuracy,L3_loss,L7_accuracy,L7_loss,L26_accuracy,L26_loss,L30_accuracy,L30_loss,L36_accuracy,L36_loss,L48_accuracy,L48_loss
0.727,0.49733333333333335,0.7366,0.44966666666666666,0.7122,0.4766666666666666,0.7399,0.46866666666666673,0.7113,0.49499999999999994,0.7187,0.43766666666666665,0.7445,0.425,0.7261,0.492,0.6992,0.467,0.7345,0.4446666666666667,0.6926,0.49533333333333335,0.7276,0.43766666666666665,0.7346,0.43166666666666664,0.7139,0.461
0.7432,0.4406666666666667,0.75,0.40399999999999997,0.7052,0.419,0.7271,0.4086666666666667,0.7298,0.43566666666666665,0.7378,0.38966666666666666,0.7571,0.38066666666666665,0.6936,0.4466666666666667,0.7097,0.4143333333333334,0.6776,0.393,0.7253,0.43733333333333335,0.7423,0.3873333333333333,0.7527,0.37766666666666665,0.7039,0.39666666666666667
0.7382,0.393,0.7302,0.35033333333333333,0.7304,0.36533333333333334,0.7279,0.367,0.723,0.39233333333333337,0.7447,0.333,0.7576,0.33233333333333337,0.7321,0.389,0.7083,0.35766666666666663,0.7454,0.3426666666666667,0.7104,0.39433333333333337,0.7424,0.33966666666666673,0.7253,0.3296666666666667,0.7336,0.3626666666666667
0.7203,0.34400000000000003,0.722,0.30866666666666664,0.745,0.3196666666666667,0.7508,0.319,0.7031,0.34400000000000003,0.7509,0.29466666666666663,0.7489,0.2886666666666667,0.7371,0.3426666666666667,0.6853,0.31433333333333335,0.7294,0.292,0.7235,0.34933333333333333,0.7473,0.2873333333333333,0.743,0.2876666666666667,0.7002,0.3113333333333333
0.7179,0.2976666666666667,0.7499,0.26333333333333336,0.7317,0.2796666666666667,0.7437,0.2786666666666667,0.7402,0.2996666666666667,0.7475,0.25333333333333335,0.7517,0.24466666666666667,0.745,0.29866666666666664,0.7057,0.26933333333333337,0.7474,0.25633333333333336,0.7253,0.2973333333333334,0.7407,0.251,0.7279,0.24333333333333332,0.7332,0.26566666666666666
0.7718,0.18933333333333335,0.7752,0.157,0.7613,0.16233333333333333,0.7721,0.16833333333333333,0.7674,0.18233333333333335,0.7755,0.1456666666666667,0.7807,0.14200000000000002,0.7699,0.18100000000000002,0.7592,0.15733333333333333,0.7705,0.15033333333333335,0.7669,0.18166666666666667,0.7755,0.14566666666666667,0.7771,0.1376666666666667,0.7628,0.1516666666666667
0.7766,0.15633333333333332,0.7755,0.12233333333333334,0.7632,0.12833333333333333,0.7752,0.13233333333333333,0.7652,0.14733333333333332,0.7756,0.114,0.7811,0.11166666666666668,0.7657,0.147,0.7616,0.12266666666666666,0.7741,0.11633333333333333,0.7694,0.14733333333333332,0.7751,0.11066666666666668,0.7778,0.10733333333333334,0.7595,0.11933333333333333
0.7727,0.14366666666666664,0.7728,0.11033333333333334,0.7642,0.11466666666666668,0.775,0.12,0.7647,0.13266666666666668,0.7762,0.102,0.779,0.10166666666666667,0.768,0.13433333333333333,0.7615,0.10933333333333334,0.7737,0.104,0.77,0.13566666666666669,0.7768,0.10133333333333333,0.7794,0.09333333333333334,0.7625,0.10466666666666667
0.7686,0.135,0.7708,0.10099999999999999,0.7643,0.10666666666666667,0.7742,0.11166666666666668,0.7659,0.12133333333333333,0.7768,0.09266666666666667,0.7792,0.08966666666666667,0.7642,0.12233333333333334,0.7612,0.09999999999999999,0.7751,0.09466666666666668,0.7681,0.12233333333333334,0.7757,0.09233333333333334,0.7823,0.08600000000000001,0.76,0.09666666666666668
0.7713,0.12433333333333334,0.7698,0.09300000000000001,0.7636,0.09866666666666668,0.7737,0.10233333333333333,0.7617,0.11166666666666668,0.7788,0.08733333333333333,0.7796,0.08633333333333333,0.7634,0.11233333333333334,0.7637,0.09233333333333334,0.7682,0.08866666666666667,0.7692,0.11599999999999999,0.7734,0.084,0.7751,0.079,0.7587,0.08700000000000001
